invoice_id,vendor_id,invoice_date,due_date,amount,tax_amount,currency,status,po_id,created_by
INV0001,V003,2025-01-03,2025-04-03,520121.74,41609.74,JPY,OPEN,PO0051,AP_CLERK_01
INV0002,V007,2025-01-01,2025-01-31,8618.28,603.28,USD,PAID,PO0081,FIN_USER_C
INV0003,V005,2025-01-05,2025-03-06,47485.74,2374.29,TWD,OPEN,PO0133,FIN_USER_B
INV0004,V009,2025-03-31,2025-06-29,128949.81,6447.49,TWD,PAID,PO0029,FIN_USER_B
INV0005,V007,2025-01-14,2025-02-13,5055.09,353.86,USD,OPEN,PO0132,FIN_USER_C
INV0006,V002,2025-01-27,2025-04-27,201146.0,10057.3,TWD,OPEN,PO0138,AP_CLERK_01
INV0007,V004,2025-01-09,2025-04-09,136598.34,6829.92,TWD,OPEN,PO0184,AP_CLERK_01
INV0008,V009,2025-03-20,2025-06-18,114492.65,5724.63,TWD,PAID,PO0145,FIN_USER_A
INV0009,V012,2025-01-15,2025-03-01,600997.46,30049.87,TWD,PAID,PO0074,AP_CLERK_01
INV0010,V014,2025-03-31,2025-06-29,5890.07,412.3,USD,PAID,PO0017,FIN_USER_C
INV0011,V002,2025-02-11,2025-05-12,272937.75,21835.02,JPY,PAID,PO0084,FIN_USER_B
INV0012,V010,2025-03-18,2025-06-16,225211.87,11260.59,TWD,PAID,PO0069,FIN_USER_A
INV0013,V009,2025-02-20,2025-05-21,97202.63,4860.13,TWD,OPEN,PO0034,FIN_USER_A
INV0014,V010,2025-03-04,2025-06-02,192053.76,9602.69,TWD,PAID,PO0006,FIN_USER_B
INV0015,V005,2025-02-21,2025-04-22,426545.42,21327.27,TWD,OPEN,PO0053,AP_CLERK_01
INV0016,V002,2025-01-04,2025-04-04,5446.84,381.28,USD,PAID,PO0194,FIN_USER_B
INV0017,V004,2025-01-23,2025-04-23,3097.79,216.85,USD,OPEN,PO0126,AP_CLERK_01
INV0018,V012,2025-01-15,2025-03-01,21361.64,1495.31,USD,PAID,PO0043,FIN_USER_B
INV0019,V015,2025-02-12,2025-05-13,129420.37,6471.02,TWD,OPEN,PO0115,FIN_USER_C
INV0020,V012,2025-01-29,2025-03-15,706493.05,35324.65,TWD,PAID,PO0111,AP_CLERK_01
INV0021,V007,2025-02-05,2025-03-07,86295.44,4314.77,TWD,PAID,PO0151,FIN_USER_C
INV0022,V012,2025-01-13,2025-02-27,12598.54,881.9,USD,PAID,PO0183,FIN_USER_A
INV0023,V013,2025-02-01,2025-03-18,60270.58,3013.53,TWD,OPEN,PO0080,FIN_USER_B
INV0024,V008,2025-03-12,2025-04-26,129047.8,6452.39,TWD,PAID,PO0095,FIN_USER_A
INV0025,V015,2025-02-28,2025-05-29,82426.94,4121.35,TWD,PAID,PO0118,FIN_USER_A
INV0026,V003,2025-03-27,2025-06-25,104788.29,5239.41,TWD,PAID,PO0144,FIN_USER_A
INV0027,V014,2025-01-28,2025-04-28,88091.89,4404.59,TWD,PAID,PO0008,FIN_USER_A
INV0028,V001,2025-03-07,2025-04-06,292856.96,14642.85,TWD,PAID,PO0132,FIN_USER_B
INV0029,V004,2025-02-11,2025-05-12,5000.0,250.0,TWD,PAID,PO0104,FIN_USER_A
INV0030,V002,2025-02-14,2025-05-15,88536.74,4426.84,TWD,PAID,PO0132,FIN_USER_B
INV0031,V008,2025-03-03,2025-04-17,161815.09,8090.75,TWD,PAID,PO0184,FIN_USER_B
INV0032,V004,2025-02-26,2025-05-27,100177.35,5008.87,TWD,PAID,PO0025,FIN_USER_C
INV0033,V002,2025-01-06,2025-04-06,247944.68,12397.23,TWD,OPEN,PO0195,AP_CLERK_01
INV0034,V014,2025-01-28,2025-04-28,59912.08,2995.6,TWD,OPEN,PO0096,AP_CLERK_01
INV0035,V006,2025-01-28,2025-03-14,49438.93,2471.95,TWD,PAID,PO0195,FIN_USER_B
INV0036,V006,2025-02-13,2025-03-30,63137.77,3156.89,TWD,PAID,PO0155,FIN_USER_C
INV0037,V010,2025-03-25,2025-06-23,409892.42,20494.62,TWD,PAID,PO0093,FIN_USER_B
INV0038,V004,2025-01-30,2025-04-30,2660.34,186.22,USD,PAID,PO0160,FIN_USER_B
INV0039,V006,2025-03-03,2025-04-17,87915.93,4395.8,TWD,OPEN,PO0178,FIN_USER_B
INV0040,V013,2025-03-16,2025-04-30,40163.73,2008.19,TWD,OPEN,PO0061,FIN_USER_C
INV0041,V015,2025-03-30,2025-06-28,42517.76,2125.89,TWD,PAID,PO0122,AP_CLERK_01
INV0042,V002,2025-03-03,2025-06-01,177726.21,8886.31,TWD,PAID,PO0051,FIN_USER_C
INV0043,V010,2025-01-01,2025-04-01,280702.21,14035.11,TWD,PAID,PO0147,FIN_USER_A
INV0044,V012,2025-01-27,2025-03-13,379956.62,18997.83,TWD,OPEN,PO0021,FIN_USER_C
INV0045,V002,2025-03-03,2025-06-01,539658.44,43172.68,JPY,PAID,PO0005,FIN_USER_C
INV0046,V010,2025-03-18,2025-06-16,219927.39,10996.37,TWD,PAID,PO0092,FIN_USER_C
INV0047,V014,2025-01-03,2025-04-03,4573.66,320.16,USD,PAID,PO0170,FIN_USER_C
INV0048,V004,2025-03-11,2025-06-09,252970.45,12648.52,TWD,PAID,PO0061,AP_CLERK_01
INV0049,V014,2025-03-13,2025-06-11,7150.53,500.54,USD,PAID,PO0022,FIN_USER_A
INV0050,V015,2025-01-27,2025-04-27,35341.17,1767.06,TWD,PAID,PO0149,AP_CLERK_01
INV0051,V015,2025-01-09,2025-04-09,129724.93,6486.25,TWD,PAID,PO0070,AP_CLERK_01
INV0052,V008,2025-03-03,2025-04-17,39449.68,1972.48,TWD,OPEN,PO0001,FIN_USER_C
INV0053,V014,2025-02-06,2025-05-07,131500.03,6575.0,TWD,PAID,PO0133,FIN_USER_B
INV0054,V007,2025-02-20,2025-03-22,271771.91,13588.6,TWD,PAID,PO0012,FIN_USER_B
INV0055,V012,2025-02-13,2025-03-30,556198.37,27809.92,TWD,PAID,PO0090,AP_CLERK_01
INV0056,V009,2025-01-24,2025-04-24,90110.42,4505.52,TWD,PAID,PO0046,AP_CLERK_01
INV0057,V014,2025-03-20,2025-06-18,128345.15,6417.26,TWD,PAID,PO0034,FIN_USER_C
INV0058,V008,2025-02-28,2025-04-14,144503.93,7225.2,TWD,PAID,PO0177,AP_CLERK_01
INV0059,V005,2025-02-01,2025-04-02,668722.34,53497.79,JPY,PAID,PO0078,FIN_USER_C
INV0060,V013,2025-03-29,2025-05-13,187577.72,15006.22,JPY,PAID,PO0045,FIN_USER_B
INV0061,V002,2025-02-21,2025-05-22,599973.25,47997.86,JPY,OPEN,PO0155,FIN_USER_B
INV0062,V015,2025-03-03,2025-06-01,50598.53,2529.93,TWD,OPEN,PO0073,FIN_USER_A
INV0063,V005,2025-02-27,2025-04-28,339959.99,16998.0,TWD,PAID,PO0026,FIN_USER_B
INV0064,V008,2025-02-21,2025-04-07,707439.48,56595.16,JPY,PAID,PO0047,AP_CLERK_01
INV0065,V010,2025-01-12,2025-04-12,344537.66,17226.88,TWD,PAID,PO0121,FIN_USER_B
INV0066,V009,2025-02-08,2025-05-09,525777.65,42062.21,JPY,OPEN,PO0056,FIN_USER_C
INV0067,V012,2025-01-02,2025-02-16,1169703.49,93576.28,JPY,PAID,PO0094,FIN_USER_B
INV0068,V012,2025-01-03,2025-02-17,12123.87,848.67,USD,PAID,PO0107,FIN_USER_A
INV0069,V012,2025-02-25,2025-04-11,649458.72,32472.94,TWD,PAID,PO0063,FIN_USER_B
INV0070,V013,2025-03-22,2025-05-06,49765.92,2488.3,TWD,PAID,PO0048,FIN_USER_C
INV0071,V009,2025-02-28,2025-05-29,3718.65,260.31,USD,PAID,PO0061,FIN_USER_C
INV0072,V013,2025-01-02,2025-02-16,41877.24,2093.86,TWD,PAID,PO0081,AP_CLERK_01
