payment_id,invoice_id,payment_date,amount,method,bank
PAY0001,INV0001,2025-08-04,170463.72,Cheque,Taishin
PAY0002,INV0003,2025-07-13,140508.56,Wire,Taishin
PAY0003,INV0003,2025-07-20,164155.3,Wire,Fubon
PAY0004,INV0004,2025-05-03,209006.23,Cheque,Mega
PAY0005,INV0006,2025-04-05,282626.59,Cash,Taishin
PAY0006,INV0007,2025-07-03,82061.59,Wire,Mega
PAY0007,INV0008,2025-08-22,2189.43,Wire,CTBC
PAY0008,INV0009,2025-07-24,2060853.94,Wire,Mega
PAY0009,INV0010,2025-08-15,196377.15,Wire,Fubon
PAY0010,INV0012,2025-08-26,94131.05,Wire,Fubon
PAY0011,INV0013,2025-06-01,151027.54,Cash,Fubon
PAY0012,INV0015,2025-07-29,168096.87,Wire,CTBC
PAY0013,INV0015,2025-08-05,72748.04,Wire,Fubon
PAY0014,INV0016,2025-09-01,13989.12,Wire,Fubon
PAY0015,INV0017,2025-07-24,276988.68,Cash,Fubon
PAY0016,INV0019,2025-07-28,126277.84,Wire,CTBC
PAY0017,INV0020,2025-07-29,509353.39,Cheque,Fubon
PAY0018,INV0024,2025-06-13,386822.52,Cheque,Taishin
PAY0019,INV0025,2025-07-09,60834.7,Cheque,Fubon
PAY0020,INV0026,2025-08-27,100617.44,Cheque,Fubon
PAY0021,INV0027,2025-07-01,184666.22,Cash,CTBC
PAY0022,INV0029,2025-08-05,365146.35,Wire,Taishin
PAY0023,INV0030,2025-07-18,174255.19,Cash,CTBC
PAY0024,INV0034,2025-09-17,147634.94,Cheque,Mega
PAY0025,INV0035,2025-07-31,85224.64,Wire,Mega
PAY0026,INV0036,2025-04-30,20541.22,Wire,CTBC
PAY0027,INV0037,2025-05-06,191321.68,Wire,CTBC
PAY0028,INV0038,2025-08-16,966.21,Cheque,Taishin
PAY0029,INV0039,2025-03-11,113324.61,Cash,Fubon
PAY0030,INV0040,2025-03-30,75331.06,Wire,Fubon
PAY0031,INV0045,2025-08-29,518644.62,Wire,Mega
PAY0032,INV0046,2025-08-09,290421.04,Cash,Mega
PAY0033,INV0048,2025-09-25,106538.01,Cheque,Fubon
PAY0034,INV0049,2025-08-01,187216.94,Cash,Fubon
PAY0035,INV0050,2025-07-25,69251.0,Wire,CTBC
PAY0036,INV0051,2025-04-23,43750.62,Wire,Fubon
PAY0037,INV0051,2025-04-30,49391.55,Wire,Mega
PAY0038,INV0052,2025-07-28,174695.9,Wire,CTBC
